date,bhp,bht,dp_tubing,thp,tht,choke_size_percentage,QL,QG
2009-10-11,258.23271449804434,106.78210061277706,183.4721400260756,74.76057447196871,82.24488260756193,41.71631595827901,4576.1,620058.47
2009-10-12,257.7473808333333,106.78889416666668,183.78917708333333,73.95820375,82.582721875,40.892736041666666,4617.93,623072.24
2009-10-13,258.1746808182,106.78251071897856,183.39202698841427,74.78265382978572,82.40131020247144,41.77569614827143,4729.555862068965,580446.3227586207
2009-10-14,258.3981777083333,106.75619979166666,182.39431875,76.00385895833334,80.88629895833333,43.08833416666667,4462.35,599091.43
2009-10-15,262.7408051119216,106.68622135075088,181.88713120419985,80.85367390772174,76.50036935789649,47.76460587692577,4370.62728480183,535125.3468884393
2009-10-16,254.4115458333333,106.80173770833332,184.398115625,70.01343020833333,82.36357375,36.47745729166667,4908.63,656307.98
2009-10-17,253.2281973882797,106.8287073565313,185.1158243823768,68.11237300590295,82.90920888506176,34.53622681158594,5097.235529895282,671752.5563569255
2009-10-18,258.22151847826086,106.74387652173912,182.46963869565215,75.7518797826087,78.29982652173913,42.52630130434783,4501.562553191489,597544.789787234
2009-10-19,256.92913604166665,106.74773395833331,182.17943416666665,74.749701875,81.92598375,41.49795958333333,4504.81,608788.1
2009-10-20,256.5999595833333,106.746030625,181.9880510416667,74.61190854166666,81.06642895833333,41.37555666666667,4666.0,607252.72
2009-10-21,256.48924916666664,106.747158125,181.84909541666667,74.64015375,79.05005916666667,41.417345625,4674.05,605895.87
2009-10-22,256.46626875,106.74969979166669,181.861315,74.60495375,78.996316875,41.38035229166667,4637.049999999999,605508.82
2009-10-23,254.6318244108984,106.78870974340752,183.06303517836093,71.56878923253743,80.04586384270603,38.2230882614876,5105.832830726032,656496.3674630802
2009-10-24,281.0080018231402,106.27662405917756,182.08908068818693,98.91892113495328,46.395016453981306,74.42759407140187,1628.949532710281,295041.9140186916
2009-10-25,261.8651607442296,106.78256944444422,184.30754448713887,77.55761625709077,75.84522902628443,45.03616927301735,4319.990915435022,565868.1103178671
2009-10-26,260.70445291666664,106.78579916666666,183.577694375,77.12675854166666,82.33011125,44.675547916666666,4663.23,602824.32
2009-10-27,260.42039666666665,106.7856775,183.61469666666667,76.8057,82.55693229166667,44.35243104166667,4670.82,603085.27
2009-10-28,260.01914375,106.79384,183.67518541666664,76.34395833333333,81.48978020833333,43.856945625,4707.67,603773.5
2009-10-29,259.56587246516614,106.82401681672026,185.67185364415863,73.8940188210075,78.75116782422293,42.86714789924973,4763.544694533762,610753.8315112541
2009-10-30,253.39889458333332,106.90845916666666,187.28500916666667,66.11388541666666,82.21103770833334,33.036638125,5366.629999999999,692870.78
2009-10-31,254.22859416666665,106.905469375,186.81589479166664,67.412699375,81.9727425,34.41029416666667,5274.01,676986.37
2009-11-01,254.045449375,106.91377104166666,186.99898875,67.046460625,81.44927270833334,34.00970354166667,5266.040000000001,678487.14
2009-11-02,254.3114833333333,106.91622895833332,186.92457958333333,67.38690375,80.83284375,34.335649375,5230.74,675577.42
2009-11-03,254.32095791666663,106.92213020833331,187.04518666666667,67.27577125,81.12952270833334,34.23371458333333,5197.48,675254.23
2009-11-04,257.93317037472906,106.87513116416127,185.7236619308968,72.20950844383226,79.18793565320645,39.47880724976129,5247.421935483871,689565.12
2009-11-05,258.3243145833333,106.86363833333333,184.94429125,73.38002333333333,79.79989833333333,40.71259770833333,4779.58,620794.82
2009-11-06,258.4570933333333,106.85641916666668,184.87490541666668,73.58218791666667,81.00448166666666,40.93087666666667,4742.46,617191.43
2009-11-07,258.03128604166665,106.86466833333331,185.35255125,72.67873479166667,82.296916875,39.96807145833333,4811.26,623010.35
2009-11-08,257.8228564583333,106.86899395833332,185.69426083333332,72.128595625,83.11453916666666,39.41773333333333,4839.63,625587.92
2009-11-09,260.216592590615,106.84790275461206,184.8512136374304,75.36537895318459,79.87793315230053,42.785949938204304,4566.85583804119,588527.5747064073
2009-11-10,259.5304497916667,106.846939375,185.58320354166668,73.94724625,81.00260854166666,41.2661825,4633.78,594946.25
2009-11-11,258.27852333333334,106.87449208333334,185.37706875,72.90145458333333,81.744224375,40.22242,4798.08,617863.62
2009-11-12,258.1416983333333,106.87598770833333,185.37779541666663,72.76390291666667,79.96066416666666,40.07748145833333,4824.6900000000005,618894.68
2009-11-13,258.35325479166664,106.875380625,185.447205,72.90604979166666,80.76178833333333,40.20255229166667,4791.49,623603.78
2009-11-14,258.06337270833336,106.88368979166668,185.71831333333333,72.345059375,81.25026458333333,39.63188604166667,4823.9400000000005,620425.58
2009-11-15,257.39503729166665,106.89482208333334,186.1414345833333,71.25360270833333,81.53317791666667,38.50686125,4881.5,626209.69
2009-11-16,256.2415310416667,106.91496979166666,186.7849654166667,69.456565625,81.615285,36.53750625,4911.73,636382.84
2009-11-17,254.03586083333332,106.952561875,188.25124208333327,65.78461875,81.356306875,32.39305375,4988.3,666975.15
2009-11-18,253.01809125,106.97754895833332,189.07294375,63.9451475,82.47915729166667,30.453235625,5273.41,687647.42
2009-11-19,253.2517720833333,106.97851375,188.72906895833333,64.522703125,81.18313,31.081491875,5227.06,684780.8
2009-11-20,258.43536836421737,106.92041869746522,187.4796017310348,70.9557666331826,78.43756432418695,37.85981918346087,4524.052173913044,588889.304347826
2009-11-21,253.3678652083333,106.98144604166669,188.951823125,64.41604208333334,82.1908375,30.974443541666663,5247.96,685492.59
2009-11-22,253.08590104166663,106.984708125,188.868870625,64.21703041666666,81.626753125,30.755401666666668,5220.400000000001,683920.98
2009-11-23,256.61750976395814,106.93721891370232,187.8855932870372,68.73191647692093,80.55651727826047,35.49394461089767,4738.102325581396,621323.4195348837
2009-11-24,256.3930166866756,106.953881089408,187.58340286036687,68.80961382630872,80.26316491958886,35.40446827591698,5010.214273574086,627385.0701286142
2009-11-25,252.72710354166668,106.99473375,188.161143125,64.56596041666667,80.3644225,30.79188083333333,5008.240000000001,680810.87
2009-11-26,252.7509333333333,106.99354333333332,188.22001604166667,64.53091729166667,79.86174833333334,30.58231770833333,5296.45,692847.97
2009-11-27,252.83568063829787,107.00239723404256,188.87578765957448,63.9598929787234,82.6084274468085,29.99343553191489,5246.39,690194.23
2009-11-28,252.93001854166667,107.01381604166669,189.5439364583333,63.386082083333335,83.74184458333333,29.42429208333333,5237.620000000001,688773.85
2009-11-29,252.253330625,107.03197229166666,190.33035916666665,61.922971458333336,83.41747166666667,28.204099375,5427.25,726586.54
2009-11-30,252.00116234042557,107.03757340425533,190.60127914893616,61.39988319148936,83.45238382978724,27.693188936170213,5508.329999999999,714849.89
2009-12-01,252.17115916666663,107.041406875,190.48153083333327,61.68962833333333,82.95557416666666,27.990113333333333,5440.67,711208.6
2009-12-02,252.21165895833332,107.04265541666666,190.37650125,61.83515770833333,81.3215225,28.125294375,5500.57,714500.66
2009-12-03,252.12541479166663,107.04491125,190.41787479166663,61.70754,80.51303020833333,27.978534375,5491.62,713782.36
2009-12-04,251.49459854166668,107.05448229166667,190.91364375,60.58095479166667,81.61976520833333,26.796397916666667,6059.009999999999,774012.0500000002
2009-12-05,253.41101875,107.033833125,189.897079375,63.513939375,81.584881875,29.829753125,5725.28,732244.75
2009-12-06,252.99035375,107.03263875,190.20579125,62.7845625,81.32204395833334,29.112662083333333,5868.240000000001,744579.9700000001
2009-12-07,251.51216520833333,107.05972875,191.0391339583333,60.47303125,81.83885104166667,26.67040520833333,6046.09,767621.17
2009-12-08,251.402225,107.06330979166668,191.25688229166667,60.14534270833333,82.8646725,26.346979583333333,6143.639999999999,785560.5500000002
2009-12-09,251.43529125,107.06461083333332,191.10984395833333,60.32544729166667,82.3332275,26.53939375,6152.28,781600.7600000001
2009-12-10,251.66463520833327,107.06062958333334,191.22949916666667,60.43513604166667,83.84590791666666,26.6644975,5972.13,773988.58
2009-12-11,251.86241229166663,107.05532583333331,191.09468041666668,60.767731875,84.20878958333333,27.03206375,5830.53,767199.36
